Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,country
1 Bis Rue De Vaugirard 6th arr 75006 Paris France,8/2/2017,8.2,Hotel Trianon Rive Gauche, United Kingdom ,8,967,56,2,10.0,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 4 nights ']",1 days,48.8487675,2.3410376,France
1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,7/19/2017,8.5,InterContinental London Park Lane, China ,25,510,12,6,9.6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",15 days,51.5038632,-0.1504132,United Kingdom
1 Impasse Marteau 18th arr 75018 Paris France,8/3/2017,7.4,Novotel Suites Paris Nord 18 me, United Kingdom ,17,1082,60,2,7.5,"[' Leisure trip ', ' Solo traveler ', ' Superior Suite with 1 Double Bed and 1 Single Bed ', ' Stayed 1 night ']",0 days,48.9015941,2.3597783,France
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,8/3/2017,7.7,Grand Royale London Hyde Park, Australia ,42,6539,23,7,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",0 days,51.5109945,-0.1863417,United Kingdom
1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,8/2/2017,9.5,Milestone Hotel Kensington, Australia ,8,209,34,4,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 2 nights ']",1 days,51.5020425,-0.1866541,United Kingdom
1 Kings Cross Road Islington London WC1X 9HX United Kingdom,8/2/2017,8.1,Crowne Plaza London Kings Cross, United Kingdom ,73,2312,0,6,5.8,"[' Leisure trip ', ' Couple ', ' Double Room with Sofa Bed Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5263854,-0.1136042,United Kingdom
1 Place De La Sorbonne 5th arr 75005 Paris France,8/1/2017,8.9,Select Hotel, United Kingdom ,20,1145,69,6,9.6,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",2 days,48.8483053,2.3425596,France
1 Place Vend me 1st arr 75001 Paris France,7/15/2017,8.7,H tel De Vend me, Saudi Arabia ,42,425,36,16,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",19 days,48.8668564,2.3286339,France
1 Rue De Libourne 12th arr 75012 Paris France,8/3/2017,8.7,Pullman Paris Centre Bercy, United Kingdom ,11,1382,34,13,9.6,"[' Leisure trip ', ' Couple ', ' Classique Double Room ', ' Stayed 1 night ']",0 days,48.8315204,2.3870797,France
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,8/3/2017,8.2,Gardette Park Hotel, Vietnam ,49,1011,47,5,9.6,"[' Leisure trip ', ' Group ', ' 3 rooms ', ' Stayed 3 nights ']",0 days,48.8610265,2.3788974,France
1 rue Geoffroy Marie 9th arr 75009 Paris France,8/2/2017,8.6,Hotel Panache, Brazil ,34,371,12,6,6.3,"[' Leisure trip ', ' Family with young children ', ' Classic Double or Twin Room ', ' Stayed 3 nights ']",1 days,48.8732543,2.343239,France
1 Rue Sainte Opportune 1st arr 75001 Paris France,7/22/2017,7.7,H tel des Ducs D Anjou, Australia ,40,552,6,6,5.4,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",12 days,48.8598229,2.347111,France
1 Rue Scribe 9th arr 75009 Paris France,7/29/2017,8.6,Hotel Scribe Paris Opera by Sofitel, United Kingdom ,79,705,20,15,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Spa Access ', ' Stayed 3 nights ']",5 days,48.8704175,2.3296832,France
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,8/2/2017,8.3,Novotel London West, United Kingdom ,104,2443,0,1,3.8,"[' Leisure trip ', ' Family with young children ', ' Superior Room with 2 Single Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.4919588,-0.2200956,United Kingdom
1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,7/4/2017,9.6,Haymarket Hotel, Australia ,2,255,47,32,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 2 nights ']",30 days,51.5084595,-0.1311382,United Kingdom
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,8/3/2017,9.4,Intercontinental London The O2, United Kingdom ,68,4204,0,4,5.8,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.5024348,-0.0002497,United Kingdom
10 12 rue Cognacq Jay 7th arr 75007 Paris France,8/3/2017,8.6,H tel Juliana Paris, Ireland ,0,577,34,13,10.0,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",0 days,48.8619373,2.3040298,France
10 12 rue de Charonne 11th arr 75011 Paris France,7/6/2017,8.9,Hotel L Antoine, Ireland ,53,796,24,2,9.6,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",28 days,48.8524215,2.3743832,France
10 avenue Carnot 17th arr 75017 Paris France,7/27/2017,7.7,Belfast, Oman ,0,337,49,5,9.6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",7 days,48.8756435,2.2938788,France
10 Avenue D I na 16th arr 75016 Paris France,7/31/2017,9.3,Shangri La Hotel Paris, Ukraine ,0,174,35,44,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 3 nights ']",3 days,48.8637135,2.2934759,France
10 Avenue Emile Zola 15th arr 75015 Paris France,6/8/2017,8.0,Mercure Paris Tour Eiffel Pont Mirabeau, United States of America ,75,259,0,3,7.5,"[' Leisure trip ', ' Couple ', ' Privilege Room with 1 Double Bed ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",56 days,48.8460269,2.2788281,France
10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,9/16/2015,9.1,Knightsbridge Hotel, United States of America ,0,473,28,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ']",687 day,51.4980052,-0.1643238,United Kingdom
10 Berners Street Westminster Borough London W1T 3NP United Kingdom,6/28/2017,9.1,The London EDITION, United States of America ,13,372,51,4,9.6,"[' Leisure trip ', ' Group ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",36 days,51.5167472,-0.135965,United Kingdom
10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,8/2/2017,7.8,The Cranley Hotel, Italy ,33,388,0,3,5.0,"[' Leisure trip ', ' Couple ', ' Junior Suite 2 Adults 1 Child ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1 days,51.4916378,-0.1832833,United Kingdom
10 Bis rue du D barcad re 17th arr 75017 Paris France,7/8/2017,9.2,Hotel Le 10 BIS, United Kingdom ,2,196,30,15,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",26 days,48.8780363,2.2864907,France
10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,8/2/2017,9.0,The Nadler Soho, Canada ,42,1394,0,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Nadler Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5147387,-0.1341108,United Kingdom
10 Godliman Street City of London London EC4V 5AJ United Kingdom,8/2/2017,8.5,Grange St Paul s Hotel, United Kingdom ,135,2635,129,1,7.1,"[' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",1 days,51.5127625,-0.0997157,United Kingdom
10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,7/20/2017,9.1,The Ampersand Hotel, Singapore ,13,902,21,15,9.6,"[' Leisure trip ', ' Solo traveler ', ' Small Double Room ', ' Stayed 1 night ']",14 days,51.4943077,-0.1755579,United Kingdom
10 Monmouth Street Camden London WC2H 9HB United Kingdom,7/8/2017,9.4,Covent Garden Hotel, New Zealand ,11,158,28,2,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",26 days,51.5145986,-0.1270336,United Kingdom
10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,8/3/2017,9.3,The Nadler Victoria, United States of America ,32,1608,23,1,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",0 days,51.4990259,-0.1427453,United Kingdom
10 Pepys Street City of London London EC3N 2NR United Kingdom,7/25/2017,8.6,Novotel London Tower Bridge, Poland ,127,1082,0,8,4.6,"[' Leisure trip ', ' Family with young children ', ' Superior Room with Queen Bed and Sofa ', ' Stayed 1 night ']",9 days,51.5106538,-0.0773676,United Kingdom
10 Place De La R publique 11th arr 75011 Paris France,7/31/2017,8.0,Crowne Plaza Paris R publique, United States of America ,10,1053,30,1,7.5,"[' Solo traveler ', ' Standard Room ', ' Stayed 4 nights ']",3 days,48.8673199,2.3656296,France
10 Place De Mexico 16th arr 75016 Paris France,4/17/2017,8.3,Le Metropolitan a Tribute Portfolio Hotel, United Kingdom ,57,286,29,1,8.3,"[' Leisure trip ', ' Couple ', ' Junior Suite with Pool Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",108 day,48.8656973,2.2829776,France
10 rue Chateaubriand 8th arr 75008 Paris France,7/22/2017,8.2,Atala Champs Elys es, Singapore ,96,123,2,2,4.2,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",12 days,48.8735418,2.302442,France
10 rue d Ormesson 4th arr 75004 Paris France,8/3/2017,9.0,H tel de Jos phine BONAPARTE, Australia ,19,240,13,5,7.1,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 6 nights ']",0 days,48.8555319,2.3621212,France
10 rue de Bruxelles 9th arr 75009 Paris France,7/14/2017,9.3,Maison Souquet, United Kingdom ,0,282,86,2,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Private Access to Pool and Spa ', ' Stayed 2 nights ']",20 days,48.88366,2.3313845,France
10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,6/19/2017,8.3,Hotel Tour d Auvergne Opera, United Kingdom ,100,164,32,5,8.3,"[' Business trip ', ' Solo traveler ', ' Club Double or Twin Room ', ' Stayed 1 night ']",45 days,48.8789432,2.3448623,France
10 rue de Vaugirard 6th arr 75006 Paris France,6/24/2017,8.3,Le Senat, United States of America ,0,549,38,8,9.6,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",40 days,48.8491427,2.3397118,France
10 Rue Gabriel Laumain 10th arr 75010 Paris France,7/14/2017,8.3,Windsor Opera, United States of America ,3,168,46,2,10.0,"[' Leisure trip ', ' Group ', ' Superior Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",20 days,48.8734851,2.3485111,France
10 rue Gager Gabillot 15th arr 75015 Paris France,8/3/2017,7.1,Holiday Inn Paris Montparnasse Pasteur, United Kingdom ,51,344,9,3,4.6,"[' Leisure trip ', ' Family with young children ', ' Superior Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,48.8376887,2.3063102,France
10 Rue Kepler 16th arr 75016 Paris France,5/30/2017,9.1,H tel Keppler, France ,49,338,32,39,9.6,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 3 nights ']",65 days,48.8699103,2.2973386,France
10 rue Lamartine 9th arr 75009 Paris France,8/2/2017,8.8,Les Plumes Hotel, Bahrain ,4,514,103,1,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 7 nights ']",1 days,48.8766269,2.3432886,France
10 rue Saint Hyacinthe 1st arr 75001 Paris France,7/31/2017,8.1,Hotel des Tuileries Relais du Silence, Switzerland ,48,446,18,2,7.5,"[' Leisure trip ', ' Family with young children ', ' Cosy Room ', ' Stayed 1 night ']",3 days,48.8661705,2.331561,France
10 rue Saint Philippe du Roule 8th arr 75008 Paris France,6/23/2017,9.1,Bradford Elys es Astotel, United States of America ,0,234,26,1,10.0,"[' Leisure trip ', ' Couple ', ' Privilege Double Room ', ' Stayed 3 nights ']",41 days,48.8729676,2.3081178,France
10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,8/2/2017,8.4,W London Leicester Square, Spain ,18,863,27,9,9.2,"[' Leisure trip ', ' Group ', ' Wonderful Room ', ' Stayed 6 nights ']",1 days,51.510843,-0.1314287,United Kingdom
10 West Temple Sheen London SW14 7RT United Kingdom,8/2/2017,8.3,The Victoria, United States of America ,2,272,26,3,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.4611219,-0.2756216,United Kingdom
100 110 Euston Road Camden London NW1 2AJ United Kingdom,8/2/2017,8.9,Pullman London St Pancras, United Kingdom ,31,3168,6,1,7.5,"[' Leisure trip ', ' Solo traveler ', ' Classic Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5286766,-0.1283489,United Kingdom
100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,8/2/2017,8.7,Crowne Plaza London Kensington, United Kingdom ,0,743,63,6,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1 days,51.495179,-0.183827,United Kingdom
100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,8/2/2017,8.0,Doubletree by Hilton London Kensington, United Kingdom ,50,2367,16,3,5.4,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.4925138,-0.1787917,United Kingdom
100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,8/2/2017,8.6,Ace Hotel London Shoreditch, Ireland ,58,1593,8,2,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5254162,-0.0772849,United Kingdom
100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,7/20/2017,9.2,Staybridge Suites London Vauxhall, Australia ,15,742,28,16,8.8,"[' Leisure trip ', ' Couple ', ' Standard Suite ', ' Stayed 3 nights ']",14 days,51.4891226,-0.1205639,United Kingdom
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,8/3/2017,8.4,The Grosvenor, United States of America ,33,3274,50,8,10.0,"[' Business trip ', ' Group ', ' Executive King Room ', ' Stayed 2 nights ']",0 days,51.4956657,-0.1452793,United Kingdom
101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,8/2/2017,8.2,The Park Tower Knightsbridge a Luxury Collection Hotel, United States of America ,70,901,30,4,7.5,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1 days,51.5014191,-0.1625805,United Kingdom
102 Avenue de Villiers 17th arr 75017 Paris France,7/31/2017,8.8,Amp re, United Kingdom ,30,998,12,12,9.2,"[' Business trip ', ' Solo traveler ', ' Premium Double Room with Garden View ', ' Stayed 1 night ']",3 days,48.8848583,2.2997023,France
102 Avenue Victor Hugo 16th arr 75016 Paris France,5/7/2017,8.3,Melia Paris Champs Elys es, Belgium ,33,95,60,4,8.8,"[' Leisure trip ', ' Family with young children ', ' Deluxe Room ', ' Stayed 2 nights ']",88 days,48.8688962,2.2827459,France
102 Bd De Grenelle 15th arr 75015 Paris France,8/1/2017,8.6,Le Parisis Paris Tour Eiffel, United Kingdom ,6,1477,32,3,10.0,"[' Leisure trip ', ' Couple ', ' Double Room with Eiffel Tower View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",2 days,48.8494851,2.2955063,France
104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,8/3/2017,8.2,Thistle Kensington Gardens, Norway ,21,2134,20,3,8.8,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",0 days,51.5108439,-0.1839074,United Kingdom
108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,8/27/2016,8.2,Park Plaza Sherlock Holmes London, United Kingdom ,7,1496,5,2,8.3,"[' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",341 day,51.5209191,-0.1566567,United Kingdom
108 Rue Saint Lazare 8th arr 75008 Paris France,8/3/2017,8.4,Hilton Paris Opera, Australia ,17,458,23,3,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 4 nights ']",0 days,48.8756604,2.3252075,France
109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,8/2/2017,8.7,The Kensington Hotel, United Arab Emirates ,46,874,12,7,8.8,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1 days,51.4925478,-0.1780611,United Kingdom
10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,8/3/2017,8.7,Holiday Inn London Stratford City, United Kingdom ,13,2130,29,3,9.6,"[' Leisure trip ', ' Group ', ' Queen Room Non Smoking ', ' Stayed 3 nights ']",0 days,51.5426054,-0.0072708,United Kingdom
10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,8/3/2017,9.2,Staybridge Suites London Stratford, South Africa ,39,945,43,18,9.6,"[' Leisure trip ', ' Couple ', ' Studio Suite ', ' Stayed 1 night ']",0 days,51.5426351,-0.0073272,United Kingdom
11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,8/3/2017,8.0,Shepherd s Bush Boutique Hotel, United Kingdom ,0,1069,48,1,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.5054544,-0.2262216,United Kingdom
11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,8/2/2017,8.1,My Bloomsbury, United Kingdom ,44,1161,28,1,9.2,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5188555,-0.1319172,United Kingdom
11 15 Rue De Lyon 12th arr 75012 Paris France,8/1/2017,8.3,Holiday Inn Paris Gare de Lyon Bastille, New Zealand ,27,2200,13,4,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2 days,48.8468064,2.3714789,France
11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,7/30/2017,8.7,H tel Chaplain Paris Rive Gauche, United Kingdom ,20,615,12,8,7.5,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 2 nights ']",4 days,48.8427564,2.3305636,France
11 Bis rue Mazagran 10th arr 75010 Paris France,7/18/2017,7.9,H tel Regina Op ra Grands Boulevards, Australia ,20,287,22,1,7.5,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",16 days,48.8708508,2.3515882,France
11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,8/3/2017,8.7,11 Cadogan Gardens, United Kingdom ,13,393,39,1,9.6,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 1 night ']",0 days,51.4936161,-0.1592347,United Kingdom
11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,8/2/2017,9.0,The Wellesley Knightsbridge a Luxury Collection Hotel London, Hungary ,49,185,7,6,6.3,"[' Leisure trip ', ' Family with young children ', ' Junior Suite with Park View ', ' Stayed 1 night ']",1 days,51.502485,-0.1539265,United Kingdom
11 Rue d Astorg 8th arr 75008 Paris France,10/22/2016,7.5,Hotel Astor Saint Honor , United Kingdom ,0,101,42,1,9.2,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 4 nights ']",285 day,48.8728324,2.3193886,France
11 Rue de l Arcade 8th arr 75008 Paris France,7/24/2017,8.1,Op ra Marigny, United Kingdom ,28,735,18,1,10.0,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",10 days,48.871723,2.3235377,France
11 rue de Tr vise 9th arr 75009 Paris France,8/3/2017,8.3,H tel Diva Opera, Australia ,33,1353,12,3,8.3,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",0 days,48.8732706,2.3450746,France
11 rue du 8 Mai 1945 10th arr 75010 Paris France,6/23/2017,8.5,Le Marcel, Iceland ,24,413,13,3,8.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",41 days,48.8761376,2.3572681,France
11 Rue Du Temple 4th arr 75004 Paris France,8/1/2017,8.6,H tel Duo, Australia ,36,883,31,35,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ']",2 days,48.8581186,2.3529369,France
11 rue Paul Baudry 8th arr 75008 Paris France,8/2/2017,8.7,H tel Le Marianne, United States of America ,40,213,23,3,8.8,"[' Leisure trip ', ' Group ', ' Classic Double Room with Free Access to Hamman ', ' Stayed 1 night ']",1 days,48.8725794,2.3075779,France
11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,8/2/2017,8.5,The Rembrandt, United States of America ,34,1802,19,1,7.9,"[' Leisure trip ', ' Family with young children ', ' Executive Twin Room ', ' Stayed 10 nights ']",1 days,51.4959227,-0.1702917,United Kingdom
110 rue Blomet 15th arr 75015 Paris France,7/31/2017,8.5,Hotel Eden, Oman ,29,477,9,36,5.8,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 5 nights ']",3 days,48.8405612,2.2991035,France
111 avenue de la Bourdonnais 7th arr 75007 Paris France,8/2/2017,8.8,H tel de la Bourdonnais, United Kingdom ,54,1337,60,5,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1 days,48.8550466,2.304583,France
111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,7/27/2017,8.6,Ashburn Hotel, United Kingdom ,26,629,13,1,5.0,"[' Leisure trip ', ' Travelers with friends ', ' Queen Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",7 days,51.4945522,-0.1861213,United Kingdom
111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,8/3/2017,8.6,Marlin Waterloo, United Kingdom ,34,218,11,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.4990953,-0.1132136,United Kingdom
112 boulevard de S bastopol 3rd arr 75003 Paris France,7/28/2017,8.3,Best Western Premier Marais Grands Boulevards, Canada ,5,1408,42,2,9.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",6 days,48.8687425,2.3541761,France
113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,8/2/2017,8.2,Novotel London Waterloo, Pakistan ,34,1047,17,12,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Room with Double Sofa ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",1 days,51.4948465,-0.1187481,United Kingdom
116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,8/2/2017,8.1,The Athenaeum, United States of America ,34,364,66,1,7.9,"[' Leisure trip ', ' Group ', ' Superior Room ', ' Stayed 4 nights ']",1 days,51.504716,-0.1475618,United Kingdom
117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,8/2/2017,7.8,Park International Hotel, Australia ,40,1252,15,11,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.4945144,-0.1866172,United Kingdom
117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,7/22/2017,9.4,Lansbury Heritage Hotel, Czech Republic ,67,82,64,19,10.0,"[' Business trip ', ' Travelers with friends ', ' Standard King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",12 days,51.5090985,-0.0157302,United Kingdom
